4855199, 1803700
61911999, 58630900
434840200, 523077100
2279345600, 2257098800

1071501, 6901
7890400, 3000
39900301, 200
214053999, 200

255599, 1451600
4417600, 28152401
8404700, 49792100
72778600, 218945900

32299, 44099
3076000, 2286400
29753800, 27058100
165772000, 402038599

2525000,1601700
94035101,21724900
196406701,356346899
770098001,1771363300

1900,901
100,100
0,100
200,100

702400,58400
10401099,3066199
18558100,42625100
309966999,225895400

4400,49300
207199,2226100
1677100,20139301
8013400,158964400

1706201,3536801,3362500
40888800,16451200,27729200
84221899,94819600,133758801
463153100,468296200,680217800

100,100,100
100,100,100
300,0,100
300,100,0

8700,8300,40601
38199,17000,26800
31500,6201,33500
39200,13700,33000

14724200,14598100,2099
31219000,32967000,2100
42395800,34700701,2000
121394200,151770200,2299

4646800,13622500,3475800
39122100,35483801,43549001
262620000,231081000,258092200
825656600,706310000,810222600

8000,2000,5999
38800,24300,6400
2601,18001,74900
30500,11599,4000

9500,3200,14600
32500,16000,10700
10001,3899,6500
41999,18000,4100

1000,3599,1400
37799,16300,1100
8000,2600,1400
28999,8501,800